target_id	length	eff_length	est_counts	tpm
gene-A1S_0001	1197	1017.77	50	25.6973
gene-A1S_0002	918	738.768	79	55.9353
gene-A1S_0003	843	663.768	25	19.7011
gene-A1S_0004	2355	2175.77	274	65.8726
gene-A1S_0005	303	123.933	15	63.3101
gene-A1S_0006	435	255.768	12	24.5415
gene-A1S_0007	1869	1689.77	25	7.73891
gene-A1S_0008	888	708.768	0	0
gene-A1S_0009	987	807.768	262	169.661
gene-A1S_0010	975	795.768	7	4.60128
gene-A1S_0011	252	75.9677	65	447.56
gene-A1S_0012	759	579.768	4	3.60888
gene-A1S_0013	993	813.768	68	43.7094
gene-A1S_0014	975	795.768	65	42.7261
gene-A1S_0015	1416	1236.77	194	82.0503
gene-A1S_0016	933	753.768	3	2.08185
gene-A1S_0017	543	363.768	35	50.3281
gene-A1S_0018	510	330.768	32	50.605
gene-A1S_0019	447	267.768	32	62.5112
gene-A1S_0020	2763	2583.77	249	50.4095
gene-A1S_0023	1056	876.768	2	1.1932
gene-A1S_0024	567	387.768	13	17.5363
gene-A1S_0025	495	315.768	32	53.0089
gene-A1S_0026	723	543.768	0	0
gene-A1S_0027	537	357.768	1	1.46206
gene-A1S_0028	1089	909.768	2	1.14992
gene-A1S_0029	867	687.768	2	1.52109
gene-A1S_0030	903	723.768	2	1.44543
gene-A1S_0031	1245	1065.77	23	11.2884
gene-A1S_0032	288	109.2	65	311.357
gene-A1S_0033	444	264.768	80	158.049
gene-A1S_0034	618	438.768	88	104.909
gene-A1S_0035	624	444.768	39	45.8667
gene-A1S_0036	513	333.768	32	50.1501
gene-A1S_0037	558	378.768	262	361.822
gene-A1S_0038	540	360.768	26	37.6975
gene-A1S_0039	477	297.768	9	15.81
gene-A1S_0040	888	708.768	23	16.9742
gene-A1S_0041	1071	891.768	20	11.7313
gene-A1S_0042	525	345.768	31	46.8968
gene-A1S_0043	1935	1755.77	8	2.38336
gene-A1S_0044	753	573.768	20	18.2331
gene-A1S_0045	465	285.768	7	12.813
gene-A1S_0046	1260	1080.77	25	12.0997
gene-A1S_0047	576	396.768	46	60.644
gene-A1S_0048	735	555.768	111	104.471
gene-A1S_0049	1965	1785.77	174	50.9672
gene-A1S_0050	375	195.806	22	58.771
gene-A1S_0051	1101	921.768	109	61.8545
gene-A1S_0052	1038	858.768	173	105.375
gene-A1S_0053	858	678.768	92	70.8979
gene-A1S_0054	579	399.768	58	75.8904
gene-A1S_0055	879	699.768	148	110.63
gene-A1S_0056	1317	1137.77	25	11.4935
gene-A1S_0057	420	240.768	25	54.3135
gene-A1S_0058	921	741.768	35	24.6812
gene-A1S_0059	957	777.768	24	16.1409
gene-A1S_0060	768	588.768	18	15.9917
gene-A1S_0061	468	288.768	71	128.61
gene-A1S_0062	798	618.768	151	127.649
gene-A1S_0063	678	498.768	89	93.3379
gene-A1S_0064	1374	1194.77	140	61.293
gene-A1S_0065	852	672.768	149	115.848
gene-A1S_0066	1152	972.768	80	43.0177
gene-A1S_0067	1668	1488.77	169	59.3781
gene-A1S_0068	696	516.768	30	30.3663
gene-A1S_0069	990	810.768	63	40.6453
gene-A1S_0070	1497	1317.77	46	18.2594
gene-A1S_0071	1215	1035.77	249	125.749
gene-A1S_0072	486	306.768	30	51.1538
gene-A1S_0073	822	642.768	123	100.096
gene-A1S_0076	2607	2427.77	339	73.0398
gene-A1S_0077	2469	2289.77	93	21.2451
gene-A1S_0078	225	53.925	19	184.302
gene-A1S_0079	420	240.768	0	0
gene-A1S_0080	1203	1023.77	2	1.02187
gene-A1S_0081	552	372.768	4	5.61291
gene-A1S_0086	747	567.768	4	3.68516
gene-A1S_0087	609	429.768	426	518.492
gene-A1S_0088	702	522.768	4	4.00237
gene-A1S_0089	555	375.768	2	2.78405
gene-A1S_0090	318	138.846	42	158.228
gene-A1S_0091	381	201.794	33	85.5407
gene-A1S_0092	1890	1710.77	5	1.52878
gene-A1S_0093	1077	897.768	4	2.33057
gene-A1S_0094	318	138.846	1	3.76734
gene-A1S_0095	1065	885.768	640	377.943
gene-A1S_0096	1032	852.768	132	80.9673
gene-A1S_0097	360	180.828	79	228.522
gene-A1S_0098	1323	1143.77	76	34.757
gene-A1S_0099	1314	1134.77	74	34.1108
gene-A1S_0100	882	702.768	8	5.95449
gene-A1S_0103	705	525.768	43	42.78
gene-A1S_0104	1416	1236.77	47	19.8782
gene-A1S_0105	1002	822.768	40	25.4302
gene-A1S_0106	567	387.768	29	39.1195
gene-A1S_0107	930	750.768	26	18.1148
gene-A1S_0108	1284	1104.77	15	7.1021
gene-A1S_0109	390	210.781	44	109.191
gene-A1S_0110	366	186.806	13	36.4015
gene-A1S_0111	597	417.768	4	5.00831
gene-A1S_0112	1725	1545.77	569	192.546
gene-A1S_0113	1626	1446.77	530	191.621
gene-A1S_0114	261	83.9611	113	703.991
gene-A1S_0115	3846	3666.77	1806	257.633
gene-A1S_0116	3471	3291.77	1783	283.328
gene-A1S_0117	1194	1014.77	149	76.8044
gene-A1S_0118	1746	1566.77	130	43.4016
gene-A1S_0119	597	417.768	5	6.26039
id-A1S_0120	76	33.1667	0.5	7.8856
id-A1S_0121	76	33.1667	0.5	7.8856
gene-A1S_0122	309	129.879	7	28.1921
gene-A1S_0123	360	180.828	13	37.6048
gene-A1S_0124	627	447.768	21	24.532
gene-A1S_0125	390	210.781	40	99.2647
gene-A1S_0126	465	285.768	6	10.9826
gene-A1S_0127	519	339.768	22	33.8694
gene-A1S_0128	288	109.2	6	28.7407
gene-A1S_0129	1167	987.768	37	19.5936
gene-A1S_0130	1458	1278.77	142	58.0849
gene-A1S_0131	657	477.768	1	1.09484
gene-A1S_0132	429	249.768	5	10.4713
gene-A1S_0133	306	126.894	1	4.12216
gene-A1S_0134	801	621.768	69	58.048
gene-A1S_0135	267	89.4225	19	111.141
gene-A1S_0136	669	489.768	17	18.1562
gene-A1S_0137	510	330.768	29	45.8608
gene-A1S_0140	1698	1518.77	302	104.012
gene-A1S_0141	663	483.768	40	43.2503
gene-A1S_0142	546	366.768	17	24.2451
gene-A1S_0143	726	546.768	12	11.4801
gene-A1S_0144	558	378.768	21	29.001
gene-A1S_0145	465	285.768	44	80.5389
gene-A1S_0146	630	450.768	10	11.6042
gene-A1S_0147	333	153.828	55	187.022
gene-A1S_0148	801	621.768	530.71	446.474
gene-A1S_0149	126	12.5479	23.2897	970.863
gene-A1S_0150	204	38.8213	527	7100.8
gene-A1S_0151	408	228.768	558	1275.87
gene-A1S_0152	438	258.768	447	903.574
gene-A1S_0153	1545	1365.77	2151	823.816
gene-A1S_0154	870	690.768	784	593.678
gene-A1S_0155	1395	1215.77	1799	774.011
gene-A1S_0156	357	177.828	476	1400.14
gene-A1S_0157	423	243.768	131	281.1
gene-A1S_0158	546	366.768	21	29.9498
gene-A1S_0159	546	366.768	75	106.964
gene-A1S_0160	603	423.768	9	11.1092
gene-A1S_0161	1017	837.768	20	12.4874
gene-A1S_0162	540	360.768	15	21.7485
gene-A1S_0163	303	123.933	4	16.8827
gene-A1S_0164	360	180.828	4	11.5707
gene-A1S_0165	516	336.768	7	10.8726
gene-A1S_0166	1089	909.768	0	0
gene-A1S_0167	1089	909.768	15	8.62437
gene-A1S_0168	429	249.768	58	121.467
gene-A1S_0169	303	123.933	17	71.7514
gene-A1S_0170	1830	1650.77	25	7.92174
gene-A1S_0171	207	40.9055	8	102.3
gene-A1S_0172	1056	876.768	5	2.98299
gene-A1S_0173	408	228.768	0	0
id-A1S_r01	1529	1349.77	150859	58462.6
id-A1S_0174	77	34.1667	7.27869	111.434
id-A1S_0175	76	33.1667	1.33333	21.0283
id-A1S_r02	2903	2723.77	396020	76052.5
id-A1S_r03	134	10.5728	166.797	8252.09
gene-A1S_0176	432	252.768	4	8.2776
gene-A1S_0177	768	588.768	77	68.409
gene-A1S_0178	498	318.768	12	19.6912
gene-A1S_0179	489	309.768	2	3.37723
gene-A1S_0180	426	246.768	1	2.11972
gene-A1S_0181	405	225.768	1	2.31688
gene-A1S_0182	990	810.768	2	1.29033
gene-A1S_0183	2283	2103.77	43	10.6915
gene-A1S_0184	456	276.768	50	94.4976
gene-A1S_0185	312	132.871	39	153.533
gene-A1S_0186	891	711.768	10	7.349
gene-A1S_0187	687	507.768	7	7.21107
gene-A1S_0188	1314	1134.77	19	8.75817
gene-A1S_0189	429	249.768	32	67.0162
gene-A1S_0190	1419	1239.77	104	43.8793
gene-A1S_0191	369	189.806	3	8.26757
gene-A1S_0192	600	420.768	10	12.4315
gene-A1S_0193	1239	1059.77	31	15.3009
gene-A1S_0198	384	204.794	2	5.10834
gene-A1S_0199	363	183.806	15	42.6873
gene-A1S_0200	393	213.781	189	462.444
gene-A1S_0201	1275	1095.77	317	151.324
gene-A1S_0202	765	585.768	6	5.35787
gene-A1S_0203	666	486.768	10	10.7459
gene-A1S_0204	744	564.768	3	2.77855
gene-A1S_0205	1293	1113.77	3	1.40894
gene-A1S_0207	453	273.768	130	248.386
gene-A1S_0208	963	783.768	29	19.3543
gene-A1S_0209	738	558.768	132	123.569
gene-A1S_0210	1089	909.768	106	60.9455
gene-A1S_0211	801	621.768	1	0.841276
gene-A1S_0212	1011	831.768	5	3.14438
gene-A1S_0213	1170	990.768	5	2.63976
gene-A1S_0214	750	570.768	6	5.49868
gene-A1S_0215	1296	1116.77	20	9.36772
gene-A1S_0217	201	36.911	4	56.6853
gene-A1S_0218	294	115.056	215	977.455
gene-A1S_0219	1155	975.768	68	36.4526
gene-A1S_0220	318	138.846	20	75.3468
gene-A1S_0221	867	687.768	36	27.3796
gene-A1S_0222	1086	906.768	50	28.843
gene-A1S_0223	660	480.768	44	47.8723
gene-A1S_0224	219	49.4192	6	63.5071
gene-A1S_0225	555	375.768	30	41.7607
gene-A1S_0226	288	109.2	24	114.963
gene-A1S_0227	1284	1104.77	196	92.8008
gene-A1S_0228	1026	846.768	63	38.9173
gene-A1S_0229	801	621.768	21	17.6668
gene-A1S_0230	1428	1248.77	102	42.7253
gene-A1S_0231	1041	861.768	8	4.85586
gene-A1S_0232	513	333.768	2	3.13438
gene-A1S_0233	204	38.8213	1	13.474
gene-A1S_0234	447	267.768	7	13.6743
gene-A1S_0235	1275	1095.77	7	3.34154
gene-A1S_0236	579	399.768	114	149.164
gene-A1S_0237	768	588.768	211	187.458
gene-A1S_0238	1140	960.768	248	135.021
gene-A1S_0239	1302	1122.77	159	74.0754
gene-A1S_0240	540	360.768	47	68.1454
gene-A1S_0241	753	573.768	21	19.1448
gene-A1S_0242	264	86.6689	25	150.884
gene-A1S_0243	1689	1509.77	154	53.3553
gene-A1S_0244	222	51.6309	13	131.704
gene-A1S_0245	1308	1128.77	34	15.7558
gene-A1S_0246	1059	879.768	64	38.0521
gene-A1S_0247	765	585.768	22	19.6455
gene-A1S_0248	447	267.768	120	234.417
gene-A1S_0249	714	534.768	16	15.6503
gene-A1S_0250	471	291.768	34	60.9548
gene-A1S_0251	1743	1563.77	22	7.35897
gene-A1S_0252	930	750.768	4	2.7869
gene-A1S_0253	465	285.768	4	7.32172
gene-A1S_0254	771	591.768	4	3.5357
gene-A1S_0255	1191	1011.77	11	5.68694
gene-A1S_0256	642	462.768	16	18.0852
gene-A1S_0257	231	58.6006	6	53.557
gene-A1S_0258	114	23.0541	11	249.581
gene-A1S_0259	1035	855.768	107	65.4025
gene-A1S_0260	885	705.768	7	5.18803
gene-A1S_0261	675	495.768	37	39.0382
gene-A1S_0262	681	501.768	31	32.3166
gene-A1S_0263	567	387.768	6	8.09368
gene-A1S_0264	510	330.768	20	31.6281
gene-A1S_0265	219	49.4192	2	21.169
gene-A1S_0266	1113	933.768	20	11.2036
gene-A1S_0267	384	204.794	9	22.9875
gene-A1S_0268	327	147.828	163	576.762
gene-A1S_0269	744	564.768	32	29.6378
gene-A1S_0270	693	513.768	22	22.3987
gene-A1S_0271	2004	1824.77	66	18.9192
gene-A1S_0272	564	384.768	82	111.476
gene-A1S_0273	579	399.768	19	24.8606
gene-A1S_0274	1314	1134.77	59	27.1964
id-A1S_0275	76	33.1667	293.923	4635.53
id-A1S_0276	84	37.3	21	294.495
id-A1S_0277	76	33.1667	8	126.17
id-A1S_0278	75	34.0588	2	30.7162
gene-A1S_0279	1191	1011.77	3073.58	1589.02
id-A1S_0280	76	33.1667	0	0
gene-A1S_0281	441	261.768	136	271.762
gene-A1S_0282	483	303.768	275	473.541
gene-A1S_0283	429	249.768	888	1859.7
gene-A1S_0284	696	516.768	1014	1026.38
gene-A1S_0285	333	153.828	761	2587.71
gene-A1S_0286	372	192.806	1253	3399.36
gene-A1S_0287	4011	3831.77	1241	169.41
gene-A1S_0288	4095	3915.77	1820	243.12
gene-A1S_0289	399	219.768	7	16.661
gene-A1S_0290	579	399.768	12	15.7015
gene-A1S_0291	1158	978.768	17	9.08523
