target_id	length	eff_length	est_counts	tpm
gene-A1S_0001	1197	1009.67	5	4.80251
gene-A1S_0002	918	730.671	9	11.9453
gene-A1S_0003	843	655.671	5	7.3954
gene-A1S_0004	2355	2167.67	66	29.5276
gene-A1S_0005	303	115.949	4	33.4558
gene-A1S_0006	435	247.671	0	0
gene-A1S_0007	1869	1681.67	0	0
gene-A1S_0008	888	700.671	0	0
gene-A1S_0009	987	799.671	0	0
gene-A1S_0010	975	787.671	0	0
gene-A1S_0011	252	68.5096	26	368.044
gene-A1S_0012	759	571.671	0	0
gene-A1S_0013	993	805.671	2	2.40741
gene-A1S_0014	975	787.671	0	0
gene-A1S_0015	1416	1228.67	9	7.10371
gene-A1S_0016	933	745.671	1	1.30056
gene-A1S_0017	543	355.671	1	2.72665
gene-A1S_0018	510	322.671	0	0
gene-A1S_0019	447	259.671	0	0
gene-A1S_0020	2763	2575.67	9	3.38868
gene-A1S_0023	1056	868.671	0	0
gene-A1S_0024	567	379.671	0	0
gene-A1S_0025	495	307.671	2	6.30407
gene-A1S_0026	723	535.671	0	0
gene-A1S_0027	537	349.671	0	0
gene-A1S_0028	1089	901.671	0	0
gene-A1S_0029	867	679.671	0	0
gene-A1S_0030	903	715.671	1	1.35508
gene-A1S_0031	1245	1057.67	2	1.83382
gene-A1S_0032	288	101.557	2	19.0985
gene-A1S_0033	444	256.671	8	30.2267
gene-A1S_0034	618	430.671	6	13.5109
gene-A1S_0035	624	436.671	1	2.22087
gene-A1S_0036	513	325.671	0	0
gene-A1S_0037	558	370.671	5	13.0815
gene-A1S_0038	540	352.671	1	2.74984
gene-A1S_0039	477	289.671	0	0
gene-A1S_0040	888	700.671	2	2.76818
gene-A1S_0041	1071	883.671	2	2.19491
gene-A1S_0042	525	337.671	1	2.872
gene-A1S_0043	1935	1747.67	0	0
gene-A1S_0044	753	565.671	0	0
gene-A1S_0045	465	277.671	1	3.49258
gene-A1S_0046	1260	1072.67	3	2.71227
gene-A1S_0047	576	388.671	0	0
gene-A1S_0048	735	547.671	4	7.08301
gene-A1S_0049	1965	1777.67	1	0.54554
gene-A1S_0050	375	187.671	1	5.16749
gene-A1S_0051	1101	913.671	3	3.18427
gene-A1S_0052	1038	850.671	3	3.42009
gene-A1S_0053	858	670.671	0	0
gene-A1S_0054	579	391.671	0	0
gene-A1S_0055	879	691.671	0	0
gene-A1S_0056	1317	1129.67	1	0.858472
gene-A1S_0057	420	232.671	0	0
gene-A1S_0058	921	733.671	0	0
gene-A1S_0059	957	769.671	0	0
gene-A1S_0060	768	580.671	0	0
gene-A1S_0061	468	280.671	0	0
gene-A1S_0062	798	610.671	2	3.17615
gene-A1S_0063	678	490.671	2	3.95291
gene-A1S_0064	1374	1186.67	3	2.45171
gene-A1S_0065	852	664.671	9	13.1315
gene-A1S_0066	1152	964.671	7	7.03715
gene-A1S_0067	1668	1480.67	6	3.9298
gene-A1S_0068	696	508.671	0	0
gene-A1S_0069	990	802.671	0	0
gene-A1S_0070	1497	1309.67	0	0
gene-A1S_0071	1215	1027.67	12	11.3241
gene-A1S_0072	486	298.671	0	0
gene-A1S_0073	822	634.671	12	18.3362
gene-A1S_0076	2607	2419.67	8	3.20636
gene-A1S_0077	2469	2281.67	1	0.425035
gene-A1S_0078	225	46.3342	1	20.9303
gene-A1S_0079	420	232.671	0	0
gene-A1S_0080	1203	1015.67	1	0.954828
gene-A1S_0081	552	364.671	0	0
gene-A1S_0086	747	559.671	2	3.46557
gene-A1S_0087	609	421.671	6	13.7992
gene-A1S_0088	702	514.671	0	0
gene-A1S_0089	555	367.671	0	0
gene-A1S_0090	318	130.791	0	0
gene-A1S_0091	381	193.671	2	10.0148
gene-A1S_0092	1890	1702.67	0	0
gene-A1S_0093	1077	889.671	0	0
gene-A1S_0094	318	130.791	0	0
gene-A1S_0095	1065	877.671	40	44.1984
gene-A1S_0096	1032	844.671	6	6.88877
gene-A1S_0097	360	172.671	4	22.4656
gene-A1S_0098	1323	1135.67	5	4.26968
gene-A1S_0099	1314	1126.67	2	1.72152
gene-A1S_0100	882	694.671	0	0
gene-A1S_0103	705	517.671	0	0
gene-A1S_0104	1416	1228.67	0	0
gene-A1S_0105	1002	814.671	1	1.19041
gene-A1S_0106	567	379.671	0	0
gene-A1S_0107	930	742.671	1	1.30581
gene-A1S_0108	1284	1096.67	6	5.30582
gene-A1S_0109	390	202.671	0	0
gene-A1S_0110	366	178.671	0	0
gene-A1S_0111	597	409.671	1	2.36724
gene-A1S_0112	1725	1537.67	0	0
gene-A1S_0113	1626	1438.67	0	0
gene-A1S_0114	261	76.4781	0	0
gene-A1S_0115	3846	3658.67	9	2.3856
gene-A1S_0116	3471	3283.67	0	0
gene-A1S_0117	1194	1006.67	1	0.963364
gene-A1S_0118	1746	1558.67	2	1.24438
gene-A1S_0119	597	409.671	0	0
id-A1S_0120	76	42.4286	0	0
id-A1S_0121	76	42.4286	0	0
gene-A1S_0122	309	121.872	0	0
gene-A1S_0123	360	172.671	0	0
