target_id	length	eff_length	est_counts	tpm
gene-A1S_0001	1197	1017.95	9	6.88508
gene-A1S_0002	918	738.954	4	4.21538
gene-A1S_0003	843	663.954	0	0
gene-A1S_0004	2355	2175.95	89	31.8519
gene-A1S_0005	303	124.228	4	25.0746
gene-A1S_0006	435	255.954	2	6.08503
gene-A1S_0007	1869	1689.95	1	0.460808
gene-A1S_0008	888	708.954	0	0
gene-A1S_0009	987	807.954	3	2.89154
gene-A1S_0010	975	795.954	2	1.95676
gene-A1S_0011	252	76.2255	40	408.653
gene-A1S_0012	759	579.954	0	0
gene-A1S_0013	993	813.954	2	1.91348
gene-A1S_0014	975	795.954	4	3.91351
gene-A1S_0015	1416	1236.95	17	10.7026
gene-A1S_0016	933	753.954	0	0
gene-A1S_0017	543	363.954	1	2.13968
gene-A1S_0018	510	330.954	3	7.05908
gene-A1S_0019	447	267.954	1	2.90626
gene-A1S_0020	2763	2583.95	15	4.52065
gene-A1S_0023	1056	876.954	0	0
gene-A1S_0024	567	387.954	0	0
gene-A1S_0025	495	315.954	6	14.7884
gene-A1S_0026	723	543.954	0	0
gene-A1S_0027	537	357.954	0	0
gene-A1S_0028	1089	909.954	1	0.855805
gene-A1S_0029	867	687.954	0	0
gene-A1S_0030	903	723.954	0	0
gene-A1S_0031	1245	1065.95	4	2.92224
gene-A1S_0032	288	109.66	0	0
gene-A1S_0033	444	264.954	10	29.3916
gene-A1S_0034	618	438.954	9	15.9668
gene-A1S_0035	624	444.954	2	3.50033
gene-A1S_0036	513	333.954	2	4.66378
gene-A1S_0037	558	378.954	9	18.4948
gene-A1S_0038	540	360.954	2	4.31492
gene-A1S_0039	477	297.954	2	5.22727
gene-A1S_0040	888	708.954	3	3.29532
gene-A1S_0041	1071	891.954	1	0.873076
gene-A1S_0042	525	345.954	4	9.00401
gene-A1S_0043	1935	1755.95	1	0.443487
gene-A1S_0044	753	573.954	2	2.71361
gene-A1S_0045	465	285.954	0	0
gene-A1S_0046	1260	1080.95	2	1.44084
gene-A1S_0047	576	396.954	2	3.9236
gene-A1S_0048	735	555.954	2	2.80147
gene-A1S_0049	1965	1785.95	4	1.74415
gene-A1S_0050	375	195.991	1	3.97336
gene-A1S_0051	1101	921.954	2	1.68933
gene-A1S_0052	1038	858.954	3	2.71986
gene-A1S_0053	858	678.954	1	1.14698
gene-A1S_0054	579	399.954	0	0
gene-A1S_0055	879	699.954	2	2.22513
gene-A1S_0056	1317	1137.95	0	0
gene-A1S_0057	420	240.954	0	0
gene-A1S_0058	921	741.954	0	0
gene-A1S_0059	957	777.954	0	0
gene-A1S_0060	768	588.954	4	5.28899
gene-A1S_0061	468	288.954	1	2.69504
gene-A1S_0062	798	618.954	3	3.77448
gene-A1S_0063	678	498.954	4	6.24301
gene-A1S_0064	1374	1194.95	13	8.47201
gene-A1S_0065	852	672.954	10	11.572
gene-A1S_0066	1152	972.954	3	2.40117
gene-A1S_0067	1668	1488.95	2	1.04603
gene-A1S_0068	696	516.954	1	1.50641
gene-A1S_0069	990	810.954	6	5.76168
gene-A1S_0070	1497	1317.95	2	1.18175
gene-A1S_0071	1215	1035.95	21	15.786
gene-A1S_0072	486	306.954	2	5.07401
gene-A1S_0073	822	642.954	7	8.47837
gene-A1S_0076	2607	2427.95	14	4.49037
gene-A1S_0077	2469	2289.95	1	0.34007
gene-A1S_0078	225	53.1461	9	131.876
gene-A1S_0079	420	240.954	0	0
gene-A1S_0080	1203	1023.95	1	0.760526
gene-A1S_0081	552	372.954	1	2.08804
gene-A1S_0086	747	567.954	0	0
gene-A1S_0087	609	429.954	4	7.2449
gene-A1S_0088	702	522.954	0	0
gene-A1S_0089	555	375.954	0	0
gene-A1S_0090	318	139.032	5	28.0059
gene-A1S_0091	381	201.954	4	15.4242
gene-A1S_0092	1890	1710.95	1	0.455152
gene-A1S_0093	1077	897.954	0	0
gene-A1S_0094	318	139.032	0	0
gene-A1S_0095	1065	885.954	66	58.0133
gene-A1S_0096	1032	852.954	14	12.7819
gene-A1S_0097	360	180.991	9	38.724
gene-A1S_0098	1323	1143.95	2	1.36149
gene-A1S_0099	1314	1134.95	1	0.686146
gene-A1S_0100	882	702.954	0	0
gene-A1S_0103	705	525.954	1	1.48063
gene-A1S_0104	1416	1236.95	2	1.25913
gene-A1S_0105	1002	822.954	0	0
gene-A1S_0106	567	387.954	0	0
gene-A1S_0107	930	750.954	1	1.03701
gene-A1S_0108	1284	1104.95	7	4.93342
gene-A1S_0109	390	210.954	1	3.69153
gene-A1S_0110	366	186.991	0	0
gene-A1S_0111	597	417.954	0	0
gene-A1S_0112	1725	1545.95	0	0
gene-A1S_0113	1626	1446.95	0	0
gene-A1S_0114	261	84.2983	0	0
gene-A1S_0115	3846	3666.95	4	0.849472
gene-A1S_0116	3471	3291.95	1	0.23656
gene-A1S_0117	1194	1014.95	3	2.30181
gene-A1S_0118	1746	1566.95	5	2.4849
